# HaloID N_subhalos_with_disk Mass_1e10_Msun_h
0 8 15167.142578
1 14 7466.339355
2 4 5243.999512
3 18 3470.526367
4 15 3142.989746
5 7 1859.250610
6 10 3027.909180
7 3 2737.067871
8 6 2301.364258
9 6 2472.336182
10 6 2307.055908
11 8 2392.534424
12 3 1827.177368
13 6 1942.352539
14 3 1401.386353
15 4 1516.432251
16 4 1273.714111
17 5 1311.464355
18 4 1191.283691
19 6 1224.187134
20 2 1207.908569
21 4 1191.835205
22 2 1100.538696
23 5 893.523071
24 7 769.168945
25 1 788.467468
26 5 563.361450
27 4 598.375916
28 5 520.746094
29 1 607.987488
30 2 576.639038
31 2 396.763458
32 4 513.470825
33 5 532.261108
34 2 566.182922
35 3 486.647400
36 3 420.265045
37 2 369.825562
38 2 412.770325
39 5 304.156097
40 4 440.302643
41 2 399.442963
42 5 406.313110
43 3 247.836441
44 3 380.309296
45 2 388.211456
46 5 307.354004
47 3 333.142792
48 3 311.923676
49 1 367.159668
50 3 303.785400
51 5 231.674332
52 1 377.067444
53 3 373.377991
54 2 304.054352
55 1 352.081848
56 3 319.271942
57 2 346.306244
58 3 225.691299
59 1 301.751038
60 2 292.977722
61 6 261.924561
62 3 286.543579
63 3 240.709930
64 3 264.398499
65 1 266.760193
66 3 242.630051
67 3 175.494873
68 3 239.157501
69 4 172.950943
70 4 224.582596
71 1 245.363602
72 3 225.771149
73 2 215.652252
74 2 219.991943
75 1 237.724258
76 1 258.366638
77 4 144.165161
78 1 220.944046
79 4 209.426971
80 2 256.812225
81 3 203.455856
82 6 162.530746
83 1 262.491943
84 1 240.949066
85 2 127.916367
86 2 189.143021
87 2 241.873016
88 4 192.781113
89 2 131.496735
90 3 166.035736
91 2 210.059525
92 2 205.732498
93 3 187.480301
94 2 107.666786
95 5 184.641510
96 1 218.381592
97 1 191.335388
98 2 174.264923
99 2 200.465546
100 2 183.528976
101 2 167.964539
102 1 193.681625
103 2 183.371109
104 1 189.052673
105 2 195.640350
106 3 174.405029
107 1 182.164703
