SubhaloID_z0,IndependenceSnap
117251,90
117254,89
117255,91
117256,60
117257,93
117258,61
117260,89
117263,76
117264,89
117265,65
117266,78
117267,77
117268,76
117269,81
117270,61
117272,79
117280,72
117291,96
11,77
143881,97
143882,94
143883,69
143884,68
143885,64
143886,60
143887,68
143888,54
143889,32
143890,91
143893,90
143894,93
143896,63
143897,86
143898,84
167393,83
167394,81
167395,65
167396,88
167397,55
167400,59
167403,98
17,95
184932,67
184933,97
184935,68
184936,78
184938,94
184939,89
184940,72
184941,97
184950,93
184957,55
198183,78
198184,90
198185,52
19,93
208812,91
208813,60
208814,91
208815,97
208817,59
208825,92
220596,79
220597,52
220598,80
220599,68
220600,70
220602,98
229934,73
229935,74
229936,65
229937,75
229939,68
229942,98
242789,71
242790,70
242791,48
242793,74
242794,80
242796,81
242797,58
242798,88
253862,94
253864,93
253866,91
264884,72
264886,74
264887,84
264888,85
264890,49
264892,90
275547,62
275548,98
275549,89
282782,65
282783,71
282784,83
282787,91
289386,88
289387,96
289389,61
289395,93
294867,97
294868,68
294869,79
294870,88
294873,95
29,84
300904,58
300905,52
300906,93
300908,95
307485,74
307486,99
307487,63
307488,60
307491,59
307492,92
313693,63
313695,48
319730,99
319731,64
319732,91
319733,91
324123,99
324124,70
329508,99
329509,88
329510,94
329511,68
329512,86
333424,99
333425,74
333426,79
333427,56
333428,98
333429,68
333430,96
338446,99
342446,99
342447,89
342448,78
342449,87
342450,62
345872,99
345874,95
345875,57
345876,92
348901,99
348902,88
348903,70
348905,94
348906,68
352426,99
355724,99
355726,56
358608,99
358609,89
360923,99
360924,68
360925,60
360926,86
362994,99
362995,84
362996,98
362997,70
362998,77
366407,99
366408,96
368843,99
368844,56
368845,51
371126,99
371127,59
371128,66
372754,99
372755,96
375073,99
375074,61
377655,99
377656,59
377657,98
377658,85
377659,76
379803,99
379804,70
379805,78
379808,86
37,93
382215,99
382216,68
383975,99
383976,79
383977,91
383978,69
383979,80
386269,99
386270,83
386271,96
388544,99
388545,68
388546,73
390932,99
390933,48
392276,99
392277,82
392278,80
392279,80
392280,66
394621,99
394622,75
394624,95
396628,99
396629,75
396630,57
398784,99
400973,99
400974,98
400975,68
402555,99
402556,92
402557,88
402558,69
402559,85
404817,99
406941,99
406942,80
406943,53
408534,99
408535,80
410037,99
411449,99
411451,75
411452,94
413372,99
413373,86
414917,99
414918,86
414919,78
416713,99
418335,99
418336,70
419618,99
419619,97
419620,86
419621,94
419622,91
419624,79
421555,99
421557,58
421559,91
422754,99
422755,93
422756,74
424288,99
424289,78
424291,57
425719,99
427211,99
427212,74
427213,55
428177,99
428178,97
428179,93
429471,99
429472,96
429474,94
430864,99
430865,93
430866,71
430867,81
432106,99
432107,67
432108,66
432109,56
433289,99
434356,99
434357,96
434358,78
435752,99
435753,86
436932,99
436933,80
438148,99
439099,99
440407,99
440408,97
440409,92
440410,92
441709,99
443049,99
443050,72
443051,57
443052,54
444134,81
444135,99
445626,99
445627,97
445628,90
446665,99
446666,93
446667,72
446668,66
446669,87
446670,83
447914,99
448830,99
449658,99
449659,95
44,91
450916,99
450917,86
452031,99
452032,61
452978,99
452979,91
452980,53
452981,86
454171,99
454172,89
455291,99
455292,69
455293,91
456326,99
456327,84
457431,99
457432,71
458470,99
458471,85
458472,71
459557,75
459559,77
45,94
460722,99
460723,91
460724,64
460725,59
460726,50
461785,99
462710,99
464163,99
464164,60
465255,99
465256,93
466549,99
466550,66
467415,99
467416,92
468590,99
469487,99
469488,62
470345,99
471248,99
471249,48
471996,99
471997,71
471998,67
472548,99
63865,75
63866,70
63867,86
63868,84
63869,91
63870,84
63871,93
63872,85
63877,87
63881,71
63889,92
63890,97
63892,93
63909,97
8,93
96763,96
96765,90
96773,82
96774,89
